ID,markdown,markdown_cleaned
a-01,63007,56104
a-02,52341,35527
a-03,48434,24096
a-04,105506,26389
a-05,59453,58434
a-06,130529,99024
a-07,141259,122684
c-q1-01,20853,15374
c-q1-02,168666,90691
c-q1-03,79053,62331
c-q1-04,99495,61841
c-q1-05,57708,47457
c-q1-06,79053,63129
c-q1-07,28104,27086
c-q1-08,88917,65086
c-q1-09,48622,45057
c-q1-10,45289,42688
c-q1-11,256744,217939
c-q1-12,114934,97394
c-q1-13,40671,27222
c-q1-15,84209,63262
c-q1-16,234483,103271
c-q1-17,27638,27344
c-q1-18,33790,23542
c-q1-19,84155,75549
c-q1-20,30085,27775
c-q2-01,142982,112399
c-q2-02,138723,48310
c-q2-03,68957,50298
c-q2-04,35346,33254
c-q2-05,76165,42661
c-q2-06,156444,87147
c-q2-07,56027,43717
c-q2-09,37146,33733
c-q2-10,126499,104196
c-q2-11,59534,49129
c-q2-12,27723,8226
c-q2-13,104502,92354
c-q2-14,77078,56226
c-q2-15,172342,45788
c-q2-16,60662,50843
c-q2-17,161174,49992
c-q2-18,75357,71425
c-q2-19,80883,30453
c-q2-20,33510,31650
c-q3-01,25200,21104
c-q3-05,179057,41280
c-q3-06,25558,22950
c-q3-08,276652,127821
c-q3-09,145748,84303
c-q3-10,72871,48831
c-q3-11,28181,28384
c-q3-15,78856,40857
c-q3-16,83793,82290
c-q3-17,219651,107728
c-q3-18,420077,98665
c-q4-01,36916,32978
c-q4-05,119249,100857
c-q4-06,38507,33278
c-q4-08,65590,55850
c-q4-11,68012,60457
c-q4-12,54390,47095
c-q4-13,110477,87530
c-q4-14,35341,29744
c-q4-15,56254,42959
c-q4-16,117811,83795
c-q4-17,59741,51688
c-q4-19,28458,24968
c-q5-04,178849,69926
c-q5-05,28347,24707
c-q5-09,49055,36599
c-q5-10,58349,56252
c-q5-11,61759,40663
c-q5-12,194113,109495
c-q5-14,55234,27050
c-q5-16,42027,35059
c-q5-17,27677,23994
c-q5-19,59099,53544
c-q5-20,26153,22624
c-q6-09,39812,33894
c-q6-10,50643,41749
c-q6-13,30080,23390
c-q6-15,116319,87527
c-q6-16,49383,55981
c-q6-17,177110,46838
c-q6-18,81059,74132
c-q6-19,104821,28195
c-q6-20,79923,51605
g-q1-p1-05,50175,31429
g-q1-p1-06,23530,19138
g-q1-p1-08,15981,6173
g-q1-p1-09,11069,4934
g-q1-p1-11,64357,58952
g-q1-p2-01,175381,74985
g-q1-p2-03,6214,4841
g-q1-p2-04,13993,12568
g-q1-p2-05,85257,74428
g-q1-p2-06,125342,74272
g-q1-p2-07,91140,75268
g-q1-p2-08,20418,19389
g-q1-p2-10,31956,21507
g-q1-p3-02,16281,12520
g-q1-p3-05,18182,17714
g-q1-p3-07,6787,2575
g-q1-p3-08,170918,116030
g-q1-p3-10,7945,6376
g-q2-p1-01,18141,17055
g-q2-p1-03,14988,4565
g-q2-p1-06,12297,9627
g-q2-p1-07,15758,14295
g-q2-p1-08,44969,44269
g-q2-p2-02,17356,4709
g-q2-p2-03,25319,22401
g-q2-p2-04,16582,13712
g-q2-p2-05,28373,24789
g-q2-p2-06,3303,3303
g-q2-p2-07,7397,6994
g-q2-p2-08,34362,33828
g-q2-p2-09,19365,14479
g-q2-p3-02,8251,5798
g-q2-p3-03,13859,13147
g-q2-p3-04,62003,46040
g-q2-p3-06,15346,14108
g-q2-p3-07,13748,13748
g-q2-p3-08,15505,11663
g-q2-p3-09,13280,7901
g-q2-p3-10,9635,9207
g-q3-p1-01,18231,10184
g-q3-p1-04,41781,27730
g-q3-p1-07,153431,100295
g-q3-p1-08,12844,8019
g-q3-p1-09,167555,110310
g-q3-p2-01,67928,36462
g-q3-p2-02,411690,152155
g-q3-p2-03,10920,10435
g-q3-p2-07,20003,19879
g-q3-p2-08,281326,83739
g-q3-p2-09,21316,15911
g-q3-p3-01,21698,19360
g-q3-p3-02,81573,51447
g-q3-p3-04,16927,13380
g-q3-p3-08,129844,49570
g-q3-p3-09,60694,36676
s-q1-p1-01,161443,131318
s-q1-p1-03,118805,108604
s-q1-p1-04,70664,46584
s-q1-p1-05,43877,35685
s-q1-p1-06,61139,49300
s-q1-p1-07,206613,96150
s-q1-p1-08,121229,82241
s-q1-p1-09,85076,59548
s-q1-p1-10,123006,78623
s-q1-p2-01,123676,121301
s-q1-p2-02,68011,52851
s-q1-p2-03,34372,32433
s-q1-p2-04,80111,63888
s-q1-p2-05,114872,78201
s-q1-p2-06,105043,82888
s-q1-p2-07,69720,57018
s-q1-p2-08,157329,53564
s-q1-p2-09,61286,45714
s-q1-p2-10,107498,81238
s-q1-p3-01,231137,181839
s-q1-p3-02,78030,64369
s-q1-p3-03,225761,173203
s-q1-p3-04,65275,38224
s-q1-p3-05,78687,58585
s-q1-p3-06,107271,28377
s-q1-p3-08,156142,70438
s-q1-p3-09,29611,27614
s-q1-p3-10,178690,51048
s-q2-p1-01,12578,11544
s-q2-p1-02,134799,36199
s-q2-p1-04,79877,61766
s-q2-p1-05,45572,39785
s-q2-p1-07,44057,36467
s-q2-p1-08,21309,19667
s-q2-p1-09,150080,116353
s-q2-p1-10,112358,64320
s-q2-p2-01,87578,79052
s-q2-p2-02,67149,42528
s-q2-p2-03,341801,330542
s-q2-p2-04,141593,100330
s-q2-p2-05,72135,61640
s-q2-p2-06,145947,38193
s-q2-p2-07,166996,88312
s-q2-p2-08,109223,103823
s-q2-p2-09,151958,79003
s-q2-p2-10,71579,60736
s-q2-p3-01,220067,104644
s-q2-p3-02,118478,67019
s-q2-p3-03,63101,52873
s-q2-p3-04,49343,36302
s-q2-p3-06,120602,67417
s-q2-p3-07,64399,46675
s-q2-p3-08,143579,71200
s-q2-p3-09,159643,94196
s-q2-p3-10,56042,48412
s-q3-p1-01,78172,62866
s-q3-p1-02,66954,46189
s-q3-p1-03,195366,55679
s-q3-p1-04,310259,138886
s-q3-p1-05,505235,78257
s-q3-p1-06,150003,35904
s-q3-p1-07,23634,13491
s-q3-p1-08,390788,317175
s-q3-p1-09,94329,57334
s-q3-p1-10,49352,18309
s-q3-p2-01,203576,116004
s-q3-p2-02,75732,49505
s-q3-p2-03,174814,88741
s-q3-p2-04,78294,34453
s-q3-p2-05,127242,47329
s-q3-p2-06,159262,108769
s-q3-p2-07,110725,69435
s-q3-p2-09,302914,171726
s-q3-p2-10,83349,10154
s-q3-p3-01,248941,120470
s-q3-p3-03,78353,30542
s-q3-p3-04,134915,103431
s-q3-p3-06,115151,96780
s-q3-p3-07,271832,223318
s-q3-p3-09,37082,22176
s-q3-p3-10,123180,77159
MEAN,93028.79017857143,57432.80357142857
