article_ID,relevance_score_nebius,relevance_score_openai,mean,std
a-01,0.50,0.78,0.64,0.14
a-02,0.40,0.72,0.56,0.16
a-03,0.40,0.78,0.59,0.19
a-04,0.50,0.72,0.61,0.11
a-05,0.40,0.86,0.63,0.23
a-06,0.85,0.98,0.92,0.07
a-07,0.95,0.97,0.96,0.01
c-q1-01,0.35,0.42,0.39,0.04
c-q1-02,0.40,0.86,0.63,0.23
c-q1-03,0.35,0.78,0.56,0.22
c-q1-04,0.50,0.78,0.64,0.14
c-q1-05,0.35,0.92,0.64,0.29
c-q1-06,0.40,0.78,0.59,0.19
c-q1-07,0.20,0.78,0.49,0.29
c-q1-08,0.50,0.78,0.64,0.14
c-q1-09,0.35,0.42,0.39,0.04
c-q1-10,0.40,0.72,0.56,0.16
c-q1-11,0.40,0.78,0.59,0.19
c-q1-12,0.40,0.98,0.69,0.29
c-q1-13,0.40,0.78,0.59,0.19
c-q1-15,0.40,0.78,0.59,0.19
c-q1-16,0.35,0.86,0.60,0.26
c-q1-17,0.35,0.42,0.39,0.04
c-q1-18,0.50,0.78,0.64,0.14
c-q1-19,0.40,0.72,0.56,0.16
c-q1-20,0.40,0.72,0.56,0.16
c-q2-01,0.95,0.98,0.96,0.02
c-q2-02,0.90,0.98,0.94,0.04
c-q2-03,0.55,0.92,0.74,0.18
c-q2-04,0.35,0.55,0.45,0.10
c-q2-05,0.50,0.72,0.61,0.11
c-q2-06,0.95,0.98,0.96,0.02
c-q2-07,0.90,0.92,0.91,0.01
c-q2-09,0.35,0.55,0.45,0.10
c-q2-10,0.95,0.98,0.96,0.02
c-q2-11,0.45,0.55,0.50,0.05
c-q2-12,0.10,0.35,0.22,0.12
c-q2-13,0.35,0.55,0.45,0.10
c-q2-14,0.40,0.55,0.48,0.08
c-q2-15,0.55,0.98,0.77,0.21
c-q2-16,0.15,0.35,0.25,0.10
c-q2-17,0.20,0.35,0.28,0.07
c-q2-18,0.20,0.35,0.28,0.07
c-q2-19,0.15,0.55,0.35,0.20
c-q2-20,0.40,0.55,0.48,0.08
c-q3-01,0.45,0.90,0.68,0.23
c-q3-05,0.40,0.93,0.67,0.27
c-q3-06,0.30,0.78,0.54,0.24
c-q3-08,0.35,0.55,0.45,0.10
c-q3-09,0.00,0.55,0.28,0.28
c-q3-10,0.15,0.95,0.55,0.40
c-q3-11,0.50,0.95,0.72,0.22
c-q3-15,0.20,0.55,0.38,0.18
c-q3-16,0.95,0.98,0.96,0.02
c-q3-17,0.35,0.35,0.35,0.00
c-q3-18,0.05,0.15,0.10,0.05
c-q4-01,0.45,0.55,0.50,0.05
c-q4-05,0.45,0.72,0.58,0.13
c-q4-06,0.40,0.78,0.59,0.19
c-q4-08,0.40,0.78,0.59,0.19
c-q4-11,0.35,0.78,0.56,0.22
c-q4-12,0.35,0.55,0.45,0.10
c-q4-13,0.45,0.78,0.61,0.17
c-q4-14,0.45,0.90,0.68,0.23
c-q4-15,0.40,0.55,0.48,0.08
c-q4-16,0.40,0.55,0.48,0.08
c-q4-17,0.40,0.78,0.59,0.19
c-q4-19,0.30,0.55,0.43,0.13
c-q5-04,0.10,0.35,0.22,0.12
c-q5-05,0.50,0.92,0.71,0.21
c-q5-09,0.90,0.92,0.91,0.01
c-q5-10,0.95,0.98,0.96,0.02
c-q5-11,0.15,0.86,0.51,0.35
c-q5-12,0.90,0.98,0.94,0.04
c-q5-14,0.15,0.25,0.20,0.05
c-q5-16,0.20,0.78,0.49,0.29
c-q5-17,0.20,0.55,0.38,0.18
c-q5-19,0.40,0.55,0.48,0.08
c-q5-20,0.50,0.95,0.72,0.22
c-q6-09,0.40,0.55,0.48,0.08
c-q6-10,0.10,0.55,0.33,0.23
c-q6-13,0.15,0.55,0.35,0.20
c-q6-15,0.30,0.78,0.54,0.24
c-q6-16,0.15,0.35,0.25,0.10
c-q6-17,0.15,0.55,0.35,0.20
c-q6-18,0.10,0.35,0.22,0.12
c-q6-19,0.05,0.55,0.30,0.25
c-q6-20,0.15,0.55,0.35,0.20
g-q1-p1-05,0.35,0.55,0.45,0.10
g-q1-p1-06,0.30,0.35,0.32,0.02
g-q1-p1-08,0.15,0.55,0.35,0.20
g-q1-p1-09,0.10,0.15,0.12,0.02
g-q1-p1-11,0.05,0.55,0.30,0.25
g-q1-p2-01,0.05,0.35,0.20,0.15
g-q1-p2-03,0.10,0.05,0.08,0.03
g-q1-p2-04,0.15,0.15,0.15,0.00
g-q1-p2-05,0.10,0.55,0.33,0.23
g-q1-p2-06,0.25,0.15,0.20,0.05
g-q1-p2-07,0.15,0.72,0.43,0.29
g-q1-p2-08,0.15,0.35,0.25,0.10
g-q1-p2-10,0.30,0.35,0.32,0.02
g-q1-p3-02,0.10,0.15,0.12,0.02
g-q1-p3-05,0.15,0.25,0.20,0.05
g-q1-p3-07,0.10,0.12,0.11,0.01
g-q1-p3-08,0.10,0.78,0.44,0.34
g-q1-p3-10,0.10,0.15,0.12,0.02
g-q2-p1-01,0.40,0.35,0.38,0.03
g-q2-p1-03,0.35,0.72,0.53,0.18
g-q2-p1-06,0.40,0.72,0.56,0.16
g-q2-p1-07,0.40,0.72,0.56,0.16
g-q2-p1-08,0.40,0.86,0.63,0.23
g-q2-p2-02,0.30,0.35,0.32,0.02
g-q2-p2-03,0.40,0.72,0.56,0.16
g-q2-p2-04,0.40,0.55,0.48,0.08
g-q2-p2-05,0.50,0.95,0.72,0.22
g-q2-p2-06,0.30,0.55,0.43,0.13
g-q2-p2-07,0.40,0.72,0.56,0.16
g-q2-p2-08,0.40,0.78,0.59,0.19
g-q2-p2-09,0.35,0.78,0.56,0.22
g-q2-p3-02,0.35,0.78,0.56,0.22
g-q2-p3-03,0.40,0.55,0.48,0.08
g-q2-p3-04,0.50,0.72,0.61,0.11
g-q2-p3-06,0.15,0.55,0.35,0.20
g-q2-p3-07,0.35,0.72,0.53,0.18
g-q2-p3-08,0.40,0.55,0.48,0.08
g-q2-p3-09,0.30,0.25,0.28,0.02
g-q2-p3-10,0.15,0.35,0.25,0.10
g-q3-p1-01,0.90,0.86,0.88,0.02
g-q3-p1-04,0.10,0.35,0.22,0.12
g-q3-p1-07,0.40,0.95,0.68,0.27
g-q3-p1-08,0.40,0.92,0.66,0.26
g-q3-p1-09,0.85,0.98,0.92,0.07
g-q3-p2-01,0.40,0.78,0.59,0.19
g-q3-p2-02,0.60,0.78,0.69,0.09
g-q3-p2-03,0.70,0.86,0.78,0.08
g-q3-p2-07,0.10,0.15,0.12,0.02
g-q3-p2-08,0.00,0.05,0.03,0.03
g-q3-p2-09,0.30,0.78,0.54,0.24
g-q3-p3-01,0.15,0.55,0.35,0.20
g-q3-p3-02,0.40,0.78,0.59,0.19
g-q3-p3-04,0.95,0.92,0.94,0.01
g-q3-p3-08,0.50,0.35,0.42,0.08
g-q3-p3-09,0.50,0.78,0.64,0.14
s-q1-p1-01,0.10,0.55,0.33,0.23
s-q1-p1-03,0.20,0.25,0.23,0.02
s-q1-p1-04,0.10,0.55,0.33,0.23
s-q1-p1-05,0.40,0.55,0.48,0.08
s-q1-p1-06,0.15,0.25,0.20,0.05
s-q1-p1-07,0.15,0.15,0.15,0.00
s-q1-p1-08,0.40,0.25,0.33,0.08
s-q1-p1-09,0.45,0.78,0.61,0.17
s-q1-p1-10,0.05,0.25,0.15,0.10
s-q1-p2-01,0.35,0.55,0.45,0.10
s-q1-p2-02,0.45,0.35,0.40,0.05
s-q1-p2-03,0.05,0.86,0.46,0.41
s-q1-p2-04,0.15,0.35,0.25,0.10
s-q1-p2-05,0.15,0.08,0.11,0.03
s-q1-p2-06,0.05,0.15,0.10,0.05
s-q1-p2-07,0.35,0.25,0.30,0.05
s-q1-p2-08,0.05,0.55,0.30,0.25
s-q1-p2-09,0.05,0.05,0.05,0.00
s-q1-p2-10,0.40,0.25,0.33,0.08
s-q1-p3-01,0.30,0.35,0.32,0.02
s-q1-p3-02,0.15,0.25,0.20,0.05
s-q1-p3-03,0.40,0.78,0.59,0.19
s-q1-p3-04,0.15,0.55,0.35,0.20
s-q1-p3-05,0.35,0.35,0.35,0.00
s-q1-p3-06,0.30,0.25,0.28,0.02
s-q1-p3-08,0.25,0.35,0.30,0.05
s-q1-p3-09,0.15,0.25,0.20,0.05
s-q1-p3-10,0.25,0.95,0.60,0.35
s-q2-p1-01,0.40,0.86,0.63,0.23
s-q2-p1-02,0.25,0.78,0.52,0.27
s-q2-p1-04,0.40,0.85,0.62,0.22
s-q2-p1-05,0.40,0.78,0.59,0.19
s-q2-p1-07,0.30,0.55,0.43,0.13
s-q2-p1-08,0.35,0.55,0.45,0.10
s-q2-p1-09,0.50,0.78,0.64,0.14
s-q2-p1-10,0.40,0.98,0.69,0.29
s-q2-p2-01,0.40,0.95,0.68,0.27
s-q2-p2-02,0.50,0.55,0.53,0.03
s-q2-p2-03,0.50,0.55,0.53,0.03
s-q2-p2-04,0.60,0.86,0.73,0.13
s-q2-p2-05,0.45,0.78,0.61,0.17
s-q2-p2-06,0.35,0.25,0.30,0.05
s-q2-p2-07,0.40,0.78,0.59,0.19
s-q2-p2-08,0.50,0.55,0.53,0.03
s-q2-p2-09,0.40,0.72,0.56,0.16
s-q2-p2-10,0.50,0.92,0.71,0.21
s-q2-p3-01,0.40,0.72,0.56,0.16
s-q2-p3-02,0.30,0.55,0.43,0.13
s-q2-p3-03,0.40,0.85,0.62,0.22
s-q2-p3-04,0.40,0.55,0.48,0.08
s-q2-p3-06,0.50,0.78,0.64,0.14
s-q2-p3-07,0.50,0.55,0.53,0.03
s-q2-p3-08,0.10,0.78,0.44,0.34
s-q2-p3-09,0.15,0.92,0.54,0.39
s-q2-p3-10,0.50,0.98,0.74,0.24
s-q3-p1-01,0.35,0.55,0.45,0.10
s-q3-p1-02,0.60,0.85,0.72,0.12
s-q3-p1-03,0.85,0.98,0.92,0.07
s-q3-p1-04,0.20,0.95,0.57,0.37
s-q3-p1-05,0.70,0.98,0.84,0.14
s-q3-p1-06,0.55,0.98,0.77,0.21
s-q3-p1-07,0.35,0.55,0.45,0.10
s-q3-p1-08,0.85,0.92,0.89,0.04
s-q3-p1-09,0.60,0.92,0.76,0.16
s-q3-p1-10,0.10,0.12,0.11,0.01
s-q3-p2-01,0.50,0.92,0.71,0.21
s-q3-p2-02,0.35,0.55,0.45,0.10
s-q3-p2-03,0.35,0.55,0.45,0.10
s-q3-p2-04,0.15,0.35,0.25,0.10
s-q3-p2-05,0.40,0.78,0.59,0.19
s-q3-p2-06,0.10,0.25,0.17,0.07
s-q3-p2-07,0.50,0.78,0.64,0.14
s-q3-p2-09,0.40,0.35,0.38,0.03
s-q3-p2-10,0.25,0.35,0.30,0.05
s-q3-p3-01,0.10,0.35,0.22,0.12
s-q3-p3-03,0.95,0.98,0.96,0.02
s-q3-p3-04,0.40,0.78,0.59,0.19
s-q3-p3-06,0.40,0.72,0.56,0.16
s-q3-p3-07,0.60,0.86,0.73,0.13
s-q3-p3-09,0.20,0.55,0.38,0.18
s-q3-p3-10,0.50,0.78,0.64,0.14
